Model,R²,Adj. R²,MSE,RMSE,AIC,BIC,N_vars
Baseline (все переменные),0.5566235481810575,0.5555995840890968,3388765584.9140964,58213.10492418435,64570.09046601889,64611.146781698204,6
Backward Elimination,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4
Forward Selection,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4
log(Y) ~ X,-27.263010191613265,0.6886628884356653,216016696129.2003,464775.96337289247,982.3203552574523,1011.6462950283897,4
Y ~ log(X),0.41776976189710235,0.41754608527854575,4450037401.140905,66708.60065344577,65269.81432806956,65281.54470397793,1
log(Y) ~ log(X),0.5271251413798838,0.8353091426443522,3614224527.0106344,60118.42086258283,-679.5556560784598,-667.8252801700849,1
