potras,doxodsn,natdox,nalog,ssber,denras,fakt,kvzv,dhpens
91760.8,106284.8,0.0,11700.0,1300.0,104984.8,1300.0,590.793539,0
162613.86,249851.86,25346.83,25740.0,59500.0,190351.86,59500.0,938.840082,0
54576.71,58190.71,10327.76,0.0,2000.0,56190.71,2000.0,526.920249,1
60082.02,63921.02,9348.8,0.0,800.0,63121.02,800.0,579.174092,0
69770.5,72729.5,4623.66,0.0,1450.0,71279.5,1450.0,579.174092,1
133472.26,151847.26,24213.21,13430.0,2500.0,149347.26,2500.0,938.840082,0
177446.87,198516.87,2470.02,14040.0,2500.0,196016.87,2500.0,938.840082,0
89480.81,112730.81,11292.28,21450.0,1200.0,111530.81,1200.0,938.840082,0
98357.15,117707.15,2162.0,13350.0,1000.0,116707.15,1000.0,579.174092,0
118955.86,161174.86,2980.0,18135.0,12500.0,148674.86,12500.0,590.793539,0
151836.9,177955.9,2950.0,19500.0,2500.0,175455.9,2500.0,590.793539,0
82232.34,101128.34,1300.01,7800.0,7500.0,93628.34,7500.0,590.793539,0
59128.97,62786.91,0.0,0.0,2500.0,60286.91,2500.0,579.174092,1
60486.86,64477.86,1798.3,0.0,2500.0,61977.86,2500.0,579.174092,1
64272.21,84322.21,899.47,17550.0,2500.0,81822.21,2500.0,373.894814,0
108905.98,176356.23,58628.33,19500.0,2500.0,173856.23,2500.0,578.420732,0
77815.92,94285.92,4546.85,8970.0,2500.0,91785.92,2500.0,356.829996,0
85376.88,123218.88,14076.33,0.0,37842.0,85376.88,37842.0,363.988754,1
52202.7,68202.7,1550.01,10500.0,2500.0,65702.7,2500.0,373.894814,0
125713.64,177763.64,21363.78,31550.0,2500.0,175263.64,2500.0,612.917468,0
26931.33,44718.33,3374.04,6700.0,6500.0,38218.33,6500.0,373.894814,0
131496.24,237008.25,7299.07,19066.0,77500.0,159508.25,77500.0,578.420732,0
80336.98,113256.98,6235.57,7020.0,10900.0,102356.98,10900.0,578.420732,0
45993.74,73193.74,731.83,11700.0,2500.0,70693.74,2500.0,661.75955,0
38836.4,62186.4,7033.38,5850.0,2500.0,59686.4,2500.0,356.829996,0
139517.74,240267.74,11639.09,29250.0,41500.0,198767.74,41500.0,612.917468,0
92702.03,135692.03,33273.25,9750.0,15000.0,120692.03,15000.0,363.988754,0
69914.64,100414.64,4231.29,0.0,2500.0,97914.64,2500.0,356.829996,0
105167.2,123927.2,9415.37,13260.0,2500.0,121427.2,2500.0,594.205733,0
95295.62,139195.62,3160.86,23400.0,2500.0,136695.62,2500.0,578.420732,0
87265.26,156465.26,7998.15,11700.0,42500.0,113965.26,42500.0,578.420732,0
56684.68,71934.68,12326.6,9750.0,2500.0,69434.68,2500.0,594.205733,0
70850.99,89951.99,11141.32,6601.0,2500.0,87451.99,2500.0,356.829996,0
116861.29,179361.29,2144.15,0.0,42500.0,136861.29,42500.0,363.988754,1
47943.83,96693.83,8923.86,15750.0,18000.0,78693.83,18000.0,363.988754,0
