Модель,R²,MSE,RMSE,ESS,RSS,N_vars
Baseline (Backward Elim.),0.55610043418464,3392763791.631607,58247.43592323706,11072096598815.555,8838149677200.336,4
Ridge (L2),0.5559001083094751,3394294900.0807395,58260.57758107741,10526015901363.574,8842138214710.326,6
Lasso (L1),0.5512025074074584,3430199080.8352838,58567.901454937615,10094610271260.262,8935668605575.914,3
