Метрика,Исходная модель,Финальная модель
R²,0.5566235481810575,0.55610043418464
Adj. R²,0.5555995840890968,0.5554175117756932
MSE,3388765584.9140964,3392763791.631607
RMSE,58213.10492418435,58247.43592323706
N переменных,6.0,4.0
AIC,64570.09046601889,64569.16214178038
BIC,64611.146781698204,64598.488081551324
