,Коэффициент,Ст.ош (исходн.),Ст.ош (HC3),t-stat (исходн.),t-stat (HC3),p-value (исходн.),p-value (HC3)
const,-1816.6621925312077,2199.7773448819294,10982.490926276503,-0.8258391226538953,-0.1654144041389277,0.4089711280428705,0.8686306769746639
doxodsn,0.8571842850954499,0.019276769683844466,0.09342531835134092,44.46721619617842,9.175074810790267,1.107e-321,8.933112326543009e-20
natdox,0.30038235361335963,0.10442502274339183,0.34311543129347577,2.876536156965963,0.8754556811419962,0.004053408199437246,0.3814068814369418
nalog,-0.39288236550059735,0.12543636872231517,0.3514081922236866,-3.1321248335109324,-1.118022784313778,0.0017547659133294628,0.2636605533826638
ssber,-0.3879440836398722,0.05666425977843036,0.2480403464778805,-6.846362860060616,-1.5640362108366426,9.41656375043728e-12,0.11793076209544527
