Model,R²,Adj. R²,MSE,RMSE,AIC,BIC,N_vars
Baseline (все переменные),0.5566235481810575,0.5555995840890968,3388765584.9140964,58213.10492418435,64570.09046601889,64611.146781698204,6
Backward Elimination,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4
Forward Selection,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4
