Модель,R²,Adj.R²,MSE,RMSE,AIC,BIC,N_vars,Все_значимы
1. Backward Elimination,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4,True
2. Forward Selection,0.55610043418464,0.5554175117756932,3392763791.631607,58247.43592323706,64569.16214178038,64598.488081551324,4,True
3. Логарифмическая (Y~log(X)),0.4323790535731886,0.4315057905786859,4338377287.824579,65866.35930294447,65209.61575673888,65238.94169650982,4,True
4. Ridge (L2),0.5559001084990745,0.5548744736457236,3394294898.631615,58260.57756864083,57179.66771878104,57214.85884650617,6,True
5. Lasso (L1),0.5512025073136984,0.5506848631468169,3430199081.5519,58567.90146105544,57201.07817873117,57218.67374259373,3,True
6. Исходная (все переменные),0.5566235481810575,0.5555995840890968,3388765584.9140964,58213.10492418435,64570.09046601889,64611.146781698204,6,True
